,LicenseIssueDate,Species,zipcode
0,2015-12-18T00:00:00.000,Cat,98117
1,2016-06-14T00:00:00.000,Cat,98117
2,2016-08-04T00:00:00.000,Cat,98121
3,2016-11-08T00:00:00.000,Cat,98106
4,2017-04-11T00:00:00.000,Cat,98102
5,2017-06-06T00:00:00.000,Cat,98107
6,2017-06-10T00:00:00.000,Cat,98107
7,2017-09-22T00:00:00.000,Cat,98146
8,2017-09-26T00:00:00.000,Cat,98108
9,2018-01-19T00:00:00.000,Cat,98103
10,2018-02-13T00:00:00.000,Cat,98118
11,2018-02-13T00:00:00.000,Cat,98118
12,2018-02-17T00:00:00.000,Cat,98103
13,2018-03-20T00:00:00.000,Cat,98102
14,2018-04-12T00:00:00.000,Cat,98125
15,2018-04-17T00:00:00.000,Cat,98144
16,2018-04-20T00:00:00.000,Cat,98116
17,2018-04-20T00:00:00.000,Cat,98116
18,2018-04-26T00:00:00.000,Cat,98126
19,2018-05-02T00:00:00.000,Cat,98133
20,2018-05-16T00:00:00.000,Cat,98122
21,2018-06-22T00:00:00.000,Cat,98118
22,2018-07-10T00:00:00.000,Cat,98105
23,2018-07-26T00:00:00.000,Cat,98103
24,2018-08-13T00:00:00.000,Cat,98106
25,2018-08-30T00:00:00.000,Cat,98144
26,2018-08-30T00:00:00.000,Cat,98107
27,2018-08-31T00:00:00.000,Cat,98102
28,2018-08-31T00:00:00.000,Cat,98102
29,2018-09-08T00:00:00.000,Cat,98133
30,2018-09-12T00:00:00.000,Cat,98144
31,2018-09-16T00:00:00.000,Cat,98103
32,2018-09-16T00:00:00.000,Cat,98103
33,2018-10-08T00:00:00.000,Cat,98122
34,2018-10-21T00:00:00.000,Cat,98122
35,2018-10-31T00:00:00.000,Cat,98119
36,2018-11-18T00:00:00.000,Cat,98103
37,2018-11-20T00:00:00.000,Cat,98117
38,2018-12-18T00:00:00.000,Cat,98107
39,2018-12-20T00:00:00.000,Cat,98102
40,2018-12-20T00:00:00.000,Cat,98102
41,2018-12-21T00:00:00.000,Cat,98107
42,2019-01-01T00:00:00.000,Cat,98107
43,2019-01-02T00:00:00.000,Cat,98117
44,2019-01-02T00:00:00.000,Cat,98117
45,2019-01-02T00:00:00.000,Cat,98119
46,2019-01-02T00:00:00.000,Cat,98119
47,2019-01-02T00:00:00.000,Cat,98133
48,2019-01-03T00:00:00.000,Cat,98115
49,2019-01-03T00:00:00.000,Cat,98199
50,2019-01-03T00:00:00.000,Cat,98106
51,2019-01-04T00:00:00.000,Cat,98144
52,2019-01-04T00:00:00.000,Cat,98144
53,2019-01-04T00:00:00.000,Cat,98104
54,2019-01-04T00:00:00.000,Cat,98109
55,2019-01-04T00:00:00.000,Cat,98146
56,2019-01-05T00:00:00.000,Cat,98125
57,2019-01-05T00:00:00.000,Cat,98155
58,2019-01-05T00:00:00.000,Cat,98136
59,2019-01-05T00:00:00.000,Cat,98136
60,2019-01-06T00:00:00.000,Cat,98103
61,2019-01-06T00:00:00.000,Cat,98115
62,2019-01-06T00:00:00.000,Cat,98108
63,2019-01-06T00:00:00.000,Cat,98108
64,2019-01-06T00:00:00.000,Cat,98112
65,2019-01-06T00:00:00.000,Cat,98119
66,2019-01-06T00:00:00.000,Cat,98119
67,2019-01-06T00:00:00.000,Cat,98116
68,2019-01-06T00:00:00.000,Cat,98116
69,2019-01-07T00:00:00.000,Cat,98126
70,2019-01-08T00:00:00.000,Cat,98126
71,2019-01-08T00:00:00.000,Cat,98126
72,2019-01-09T00:00:00.000,Cat,98119
73,2019-01-09T00:00:00.000,Cat,98107
74,2019-01-10T00:00:00.000,Cat,98102
75,2019-01-10T00:00:00.000,Cat,98103
76,2019-01-10T00:00:00.000,Cat,98115
77,2019-01-10T00:00:00.000,Cat,98117
78,2019-01-11T00:00:00.000,Cat,98116
79,2019-01-11T00:00:00.000,Cat,98117
80,2019-01-12T00:00:00.000,Cat,98105
81,2019-01-12T00:00:00.000,Cat,98116
82,2019-01-12T00:00:00.000,Cat,98126
83,2019-01-12T00:00:00.000,Cat,98103
84,2019-01-12T00:00:00.000,Cat,98109
85,2019-01-12T00:00:00.000,Cat,98115
86,2019-01-13T00:00:00.000,Cat,98122
87,2019-01-13T00:00:00.000,Cat,98107
88,2019-01-13T00:00:00.000,Cat,98103
89,2019-01-14T00:00:00.000,Cat,98105
90,2019-01-15T00:00:00.000,Cat,98115
91,2019-01-15T00:00:00.000,Cat,98115
92,2019-01-15T00:00:00.000,Cat,98122
93,2019-01-16T00:00:00.000,Cat,98102
94,2019-01-16T00:00:00.000,Cat,98117
95,2019-01-16T00:00:00.000,Cat,98117
96,2019-01-16T00:00:00.000,Cat,98103
97,2019-01-16T00:00:00.000,Cat,98103
98,2019-01-17T00:00:00.000,Cat,98117
99,2019-01-17T00:00:00.000,Cat,98102
100,2019-01-17T00:00:00.000,Cat,98108
101,2019-01-17T00:00:00.000,Cat,98117
102,2019-01-17T00:00:00.000,Cat,98117
103,2019-01-17T00:00:00.000,Cat,98117
104,2019-01-17T00:00:00.000,Cat,98117
105,2019-01-17T00:00:00.000,Cat,98115
106,2019-01-17T00:00:00.000,Cat,98116
107,2019-01-17T00:00:00.000,Cat,98122
108,2019-01-17T00:00:00.000,Cat,98122
109,2019-01-17T00:00:00.000,Cat,98115
110,2019-01-17T00:00:00.000,Cat,98136
111,2019-01-17T00:00:00.000,Cat,98116
112,2019-01-17T00:00:00.000,Cat,98146
113,2019-01-17T00:00:00.000,Cat,98105
114,2019-01-18T00:00:00.000,Cat,98104
115,2019-01-18T00:00:00.000,Cat,98104
116,2019-01-18T00:00:00.000,Cat,98126
117,2019-01-18T00:00:00.000,Cat,98119
118,2019-01-18T00:00:00.000,Cat,98119
119,2019-01-18T00:00:00.000,Cat,98126
120,2019-01-18T00:00:00.000,Cat,98177
121,2019-01-18T00:00:00.000,Cat,98177
122,2019-01-18T00:00:00.000,Cat,98177
123,2019-01-18T00:00:00.000,Cat,98144
124,2019-01-18T00:00:00.000,Cat,98119
125,2019-01-18T00:00:00.000,Cat,98059
126,2019-01-18T00:00:00.000,Cat,98121
127,2019-01-18T00:00:00.000,Cat,98118
128,2019-01-18T00:00:00.000,Cat,98103
129,2019-01-18T00:00:00.000,Cat,98107
130,2019-01-18T00:00:00.000,Cat,98136
131,2019-01-18T00:00:00.000,Cat,98136
132,2019-01-18T00:00:00.000,Cat,98117
133,2019-01-18T00:00:00.000,Cat,98103
134,2019-01-18T00:00:00.000,Cat,98105
135,2019-01-18T00:00:00.000,Cat,98105
136,2019-01-18T00:00:00.000,Cat,98117
137,2019-01-18T00:00:00.000,Cat,98121
138,2019-01-18T00:00:00.000,Cat,98116
139,2019-01-18T00:00:00.000,Cat,98102
140,2019-01-18T00:00:00.000,Cat,98121
141,2019-01-19T00:00:00.000,Cat,98115
142,2019-01-19T00:00:00.000,Cat,98115
143,2019-01-19T00:00:00.000,Cat,98105
144,2019-01-19T00:00:00.000,Cat,98103
145,2019-01-19T00:00:00.000,Cat,98103
146,2019-01-19T00:00:00.000,Cat,98103
147,2019-01-19T00:00:00.000,Cat,98199
148,2019-01-19T00:00:00.000,Cat,98199
149,2019-01-19T00:00:00.000,Cat,98122
150,2019-01-19T00:00:00.000,Cat,98199
151,2019-01-19T00:00:00.000,Cat,98109
152,2019-01-19T00:00:00.000,Cat,98109
153,2019-01-19T00:00:00.000,Cat,98122
154,2019-01-19T00:00:00.000,Cat,98117
155,2019-01-19T00:00:00.000,Cat,98117
